"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
3,"Jayden De Laura","QB",12,0,0,NA,0,0,NA,0,1,28,28,NA,"washington-state",2021
4,"Andrew Boyle","K",3,0,0,NA,0,1,0,0,2,89,44.5,NA,"washington-state",2021
1,"Peyton Henry","PK",12,26,26,100,11,14,78.6,59,0,0,NA,NA,"washington",2021
2,"Race Porter","P",12,0,0,NA,0,0,NA,0,53,2572,48.5,NA,"washington",2021
3,"Tim Horn","PK",4,3,3,100,0,0,NA,3,0,0,NA,NA,"washington",2021
1,"Evan Staley","K",13,2,2,100,0,0,NA,2,0,0,NA,NA,"west-virginia",2021
2,"Casey Legg","K",12,35,35,100,19,23,82.6,92,0,0,NA,NA,"west-virginia",2021
3,"Tyler Sumpter","K",12,0,0,NA,0,0,NA,0,52,2261,43.5,NA,"west-virginia",2021
1,"Brayden Narveson","K",14,72,72,100,23,29,79.3,141,0,0,NA,NA,"western-kentucky",2021
2,"John Haggerty","P",14,0,0,NA,0,0,NA,0,33,1608,48.7,NA,"western-kentucky",2021
1,"Nick Mihalic","P",13,11,14,78.6,9,11,81.8,38,47,1971,41.9,NA,"western-michigan",2021
2,"Parker Sampson","K",10,39,41,95.1,3,7,42.9,48,0,0,NA,NA,"western-michigan",2021
1,"Andy Vujnovich","P",13,0,0,NA,0,0,NA,0,49,2274,46.4,NA,"wisconsin",2021
2,"Collin Larsh","K",13,39,40,97.5,17,22,77.3,90,0,0,NA,NA,"wisconsin",2021
3,"Conor Schlichting","P",13,0,0,NA,0,0,NA,0,6,179,29.8,NA,"wisconsin",2021
1,"John Hoyland","PK",13,40,40,100,10,14,71.4,70,0,0,NA,NA,"wyoming",2021
2,"Ralph Fawaz","PK",13,0,0,NA,0,0,NA,0,58,2466,42.5,NA,"wyoming",2021
