rk,player,pos,g,ret,yds,y_ret,krtd,ret_2,yds_2,y_ret_2,prtd,ap_yd,awards,Team,Year
3,Kaden Dudley,RB,10,20,405,20.3,0,0,0,,0,457,,boise-state,2023
4,Stefan Cobbs,WR,9,0,0,,0,4,12,3.0,0,243,,boise-state,2023
5,George Holani,RB,8,0,0,,0,1,8,8.0,0,955,,boise-state,2023
6,Chase Penry,WR,4,2,29,14.5,0,2,7,3.5,0,84,,boise-state,2023
1,Alec Sinkfield,RB,12,4,92,23.0,0,0,0,,0,448,,boston-college,2021
2,Travis Levy,RB,12,17,468,27.5,1,8,30,3.8,0,830,,boston-college,2021
3,Jaelen Gill,WR,9,0,0,,0,6,40,6.7,0,309,,boston-college,2021
4,Peter Stehr,RB,9,2,36,18.0,0,0,0,,0,48,,boston-college,2021
1,Jaelen Gill,WR,12,24,509,21.2,0,6,24,4.0,0,921,,boston-college,2022
2,Taji Johnson,WR,12,1,27,27.0,0,0,0,,0,118,,boston-college,2022
3,Zay Flowers,WR,12,0,0,,0,7,43,6.1,0,1160,,boston-college,2022
4,Xavier Coleman,RB,8,1,20,20.0,0,0,0,,0,117,,boston-college,2022
5,Jaden Williams,WR,6,4,90,22.5,0,0,0,,0,268,,boston-college,2022
1,Lewis Bond,WR,13,4,72,18.0,0,6,67,11.2,0,787,,boston-college,2023
2,Owen McGowan,LB,13,1,20,20.0,0,0,0,,0,35,,boston-college,2023
3,Taji Johnson,WR,12,2,2,1.0,0,0,0,,0,21,,boston-college,2023
4,Jaden Williams,WR,10,2,31,15.5,0,6,45,7.5,0,264,,boston-college,2023
5,Jackson Treister,RB,6,2,33,16.5,0,0,0,,0,33,,boston-college,2023
6,Ryan O'Keefe,WR,5,8,117,14.6,0,0,0,,0,392,,boston-college,2023
7,Xavier Coleman,RB,3,1,13,13.0,0,0,0,,0,33,,boston-college,2023
1,Jamal Johnson,RB,12,4,61,15.3,0,0,0,,0,279,,bowling-green-state,2021
2,Jhaylin Embry,WR,12,0,0,,0,17,136,8.0,0,352,,bowling-green-state,2021
3,Taron Keith,RB,12,23,500,21.7,0,0,0,,0,835,,bowling-green-state,2021
4,Anthony Hawkins,DL,11,2,4,2.0,0,0,0,,0,4,,bowling-green-state,2021
5,Christian Sims,TE,11,1,8,8.0,0,0,0,,0,430,,bowling-green-state,2021
6,Deshawn Jones Jr.,CB,10,3,50,16.7,0,0,0,,0,56,,bowling-green-state,2021
7,Jaison Patterson,RB,10,1,6,6.0,0,0,0,,0,353,,bowling-green-state,2021
8,Davon Ferguson,CB,8,3,60,20.0,0,2,14,7.0,0,74,,bowling-green-state,2021
9,Diata Burns,CB,7,1,14,14.0,0,0,0,,0,14,,bowling-green-state,2021
1,Andrew Bench,TE,13,1,-1,-1.0,0,0,0,,0,124,,bowling-green-state,2022
2,Diego Neri,LB,13,1,0,0.0,0,0,0,,0,0,,bowling-green-state,2022
3,Jaison Patterson,RB,13,1,21,21.0,0,0,0,,0,635,,bowling-green-state,2022
4,Nick Mosley,RB,13,1,21,21.0,0,0,0,,0,127,,bowling-green-state,2022
5,Odieu Hiliare,WR,13,3,50,16.7,0,0,0,,0,802,,bowling-green-state,2022
6,Taron Keith,RB,12,18,491,27.3,1,0,0,,0,1019,,bowling-green-state,2022
7,Jake Rogers,WR,10,0,0,,0,7,86,12.3,0,86,,bowling-green-state,2022
8,Jhaylin Embry,WR,8,11,260,23.6,0,4,59,14.8,0,387,,bowling-green-state,2022
9,Rocco Hicks,TE,7,1,13,13.0,0,0,0,,0,13,,bowling-green-state,2022
10,Davon Ferguson,DB,3,1,8,8.0,0,0,0,,0,8,,bowling-green-state,2022
1,Charles Rosser,LB,13,1,3,3.0,0,0,0,,0,3,,bowling-green-state,2023
2,Jaison Patterson,RB,13,2,42,21.0,0,0,0,,0,193,,bowling-green-state,2023
3,Jaylon Tillman,WR,13,1,14,14.0,0,0,0,,0,51,,bowling-green-state,2023
4,Jhaylin Embry,WR,13,12,249,20.8,0,17,110,6.5,0,366,,bowling-green-state,2023
5,Taron Keith,RB,12,7,154,22.0,0,0,0,,0,1001,,bowling-green-state,2023
1,Hobbs Nyberg,WR,13,1,14,14.0,0,23,221,9.6,0,235,,brigham-young,2021
